127.0.0.1 - - [22/Apr/2012:20:23:54 +0530] "GET /weboo/index.html HTTP/1.1" 200 3586
127.0.0.1 - - [22/Apr/2012:20:24:05 +0530] "POST /weboo/check.jsp HTTP/1.1" 500 3870
127.0.0.1 - - [22/Apr/2012:22:19:05 +0530] "GET /weboo/register.jsp HTTP/1.1" 200 4956
127.0.0.1 - - [22/Apr/2012:22:19:33 +0530] "GET /weboo/register.jsp HTTP/1.1" 200 4959
127.0.0.1 - - [22/Apr/2012:22:19:33 +0530] "GET /weboo/css/bootstrap-responsive.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:19:33 +0530] "GET /weboo/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:19:33 +0530] "GET /weboo/css/style.css HTTP/1.1" 200 10808
127.0.0.1 - - [22/Apr/2012:22:19:33 +0530] "GET /weboo/js/script.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:19:33 +0530] "GET /weboo/js/libs/modernizr-2.5.3.min.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:19:33 +0530] "GET /weboo/js/plugins.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:19:34 +0530] "GET /weboo/img/weboo.PNG HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:19:34 +0530] "GET /weboo/img/grids.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:20:07 +0530] "GET /weboo/register.jsp HTTP/1.1" 200 4961
127.0.0.1 - - [22/Apr/2012:22:20:07 +0530] "GET /weboo/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:20:07 +0530] "GET /weboo/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:20:07 +0530] "GET /weboo/css/bootstrap-responsive.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:22:20:07 +0530] "GET /weboo/js/plugins.js HTTP/1.1" 304 -
